"[AGVN-KO313]-BẢNG KÊ HÀNG HÓA TỒN KHO KÊNH SỈ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","NGÀY XUẤT KHO","NGÀY TỒN","PO","MÃ MẪU","SKU","THÔNG TIN SP","TUỔI VÀNG ","LOẠI
 VÀNG","SL","TL 1SP 
(gr)","TL TỔNG 
(gr)"," TL TỔNG 
(chỉ) ","TỒN"," Giá công "," Giá công tổng ","Hao lai","TL TỔNG QUY 24K (chỉ)"
"(1)","","(2)","(3)","(4)","-5","(6)","","(8)","(9)","(10)","(11)"," (12)=(11)/3.75 ","(13)","  (14)","","(15)=(12)*1%","(16)=(12)*(7)/99.99%"
"","","","","","","","","","364","","1797.008","  477.734 c ","","","","","293.259"
"180","06/05/2025","09/07/2026","DHAG-25/01/02","CY70CU","30000030","15KCH: 15KY DAY KHOEN LAT CY70CU Size: 48-50","61.00%","610Y","2","8.504","17.008","4.535","  4.535 c ","140,000","280,000","0.045","2.767"
"191","06/05/2025","09/07/2026","DHAG-25/01/02","CY60FS","30000041","15KCH: 15KY DAY FRANCO VUONG  CY60FS Size: 48-50","61.00%","610Y","1","13.679","13.679","3.648","  3.648 c ","320,000","320,000","0.036","2.226"
"194","06/05/2025","09/07/2026","DHAG-25/01/02","CY60CU","30000044","15KCH: 15KY DAY KHOEN LAT CY60CU Size: 46-48","61.00%","610Y","7","6.047","42.330","11.288","  11.288 c ","120,000","840,000","0.113","6.886"
"212","06/05/2025","09/07/2026","DHAG-25/02/02","GBY3-03","30000130","15KBG: 15KY VONG BI XOAY GBY3 Size: 50-52-54","61.00%","610Y","1","17.630","17.630","4.701","  4.701 c ","540,000","540,000","0.047","2.868"
"219","06/05/2025","09/07/2026","DHAG-25/02/02","GBY3-02","30000137","15KBG: 15KY VONG BI XOAY GBY3-2 2 TANG Size: 50-52-54","61.00%","610Y","1","12.309","12.309","3.282","  3.282 c ","420,000","420,000","0.033","2.002"
"286","21/05/2025","09/07/2026","DHAG-25/03/03","CY60CA4","30000497","15KY: DAY CONG KHE 129.90GR CY60CA4, SIZE:46-48","61.00%","610Y","5","5.018","25.088","6.690","  6.690 c ","120,000","600,000","0.067","4.081"
"307","17/06/2025","09/07/2026","XTP-AG.25/0606","BBW4","30000519","18KW: LAC BI CARO BBW4 37.72GR, SIZE:15-17","75.00%","750W","1","5.819","5.819","1.552","  1.552 c ","300,000","300,000","0.016","1.164"
"321","26/06/2025","09/07/2026","DHAG-25/05/12","CW60CA4","30000541","18KW: DAY CONG KHE 44.37GR CW60CA4, SIZE:46-48","75.00%","750W","1","6.405","6.405","1.708","  1.708 c ","240,000","240,000","0.017","1.281"
"324","01/07/2025","09/07/2026","DHAG-25/05/11","CY70CA4","30000561","15KY: DAY CONG KHE 85.05GR CY70CA4, SIZE:48-50","61.00%","610Y","6","7.035","42.210","11.256","  11.256 c ","140,000","840,000","0.113","6.867"
"328","09/07/2025","09/07/2026","DHAG-25/05/11","CY50FS","30000563","15KY:DAY FRANCO VUONG 53.50GR CY50FS, SIZE:46-48","61.00%","610Y","1","9.089","9.089","2.424","  2.424 c ","250,000","250,000","0.024","1.479"
"335","28/07/2025","09/07/2026","DHAG-25/06/10","CY70CA4","30000570","15KY: DAY CONG KHE 85.94GR CY70CA4, SIZE:46-48","61.00%","610Y","13","6.611","85.940","22.917","  22.917 c ","140,000","1,820,000","0.229","13.981"
"342","28/07/2025","09/07/2026","DHAG-25/05/12","CW50FS","30000587","18KW: DAY FRANCO VUONG 59.04GR CW50FS, SIZE:46-48","75.00%","750W","4","9.860","39.439","10.517","  10.517 c ","400,000","1,600,000","0.105","7.889"
"352","05/08/2025","09/07/2026","CHÀO HÀNG","CBY3","30000593","16KY: DAY BI LONG DEN CBY3 13.6GR, SIZE:45","68.00%","680Y","1","13.549","13.549","3.613","  3.613 c ","480,000","480,000","0.036","2.457"
"355","05/08/2025","09/07/2026","CHÀO HÀNG","BBY5","30000596","16KY: LAC BI DUA HAU BBY5 7.06GR, SIZE:16-17","68.00%","680Y","1","6.989","6.989","1.864","  1.864 c ","210,000","210,000","0.019","1.268"
"356","05/08/2025","09/07/2026","CHÀO HÀNG","BBY6","30000597","16KY: LAC BI NGANG BBY6 14.75GR, SIZE:16-17","68.00%","680Y","2","7.336","14.671","3.912","  3.912 c ","210,000","420,000","0.039","2.660"
"379","","09/07/2026","[DHAG-25/06/10]","CY60CA4","30000620","15KY: DAY CONG KHE 45.48GR CY60CA4, SIZE:46-48","61.00%","610Y","7","5.038","35.269","9.405","  9.405 c ","120,000","840,000","0.094","5.738"
